Price,Close,High,Low,Open,Volume
Ticker,BEL.NS,BEL.NS,BEL.NS,BEL.NS,BEL.NS
Date,,,,,
2011-10-25,12.16188907623291,12.170639039776965,12.035016482357522,12.086321414081164,1204632
2011-10-28,12.504324913024902,12.623242850129415,12.363532444018254,12.363532444018254,951390
2011-10-31,12.45620346069336,12.886139838699387,12.377057244366668,12.727051340219038,2843280
2011-11-01,12.63914966583252,12.687274077173994,12.363530017163173,12.488413916001534,1018512
2011-11-02,12.431941986083984,12.631597532555194,12.36910235713607,12.51267882560457,1422531
2011-11-03,12.338476181030273,12.472507352182232,12.25018198579192,12.385009222599097,4673691
2011-11-04,12.44506549835205,12.631595695673074,12.338873344981762,12.631595695673074,1321947
2011-11-08,12.575515747070312,12.662617338917936,12.408871431472548,12.551652554442633,375804
2011-11-09,12.569154739379883,12.627619005082732,12.430350172679018,12.430350172679018,3698739
2011-11-11,12.598187446594238,12.647107183516397,12.408872518167156,12.442281741776961,2183445
2011-11-14,12.420406341552734,12.63159580057036,12.357566721221092,12.63159580057036,187506
2011-11-15,12.199275016784668,12.488019311074892,12.094674236886165,12.417225038217056,353529
2011-11-16,12.06007194519043,12.250182189893255,11.979335115294138,12.250182189893255,307494
2011-11-17,11.95706558227539,12.160698480913327,11.85206749799428,12.160698480913327,1159290
2011-11-18,11.889847755432129,12.090299346879611,11.807520294933132,11.852064675807373,4593204
2011-11-21,11.878314018249512,11.906949851277576,11.772519898169174,11.852064129137792,1451340
2011-11-22,11.950302124023438,12.011153838783288,11.772521121088474,11.85206536032008,11446182
2011-11-23,11.760985374450684,11.930812453092718,11.655590043430688,11.85206354067283,7787835
2011-11-24,11.930018424987793,12.162287126909039,11.709283664239369,11.931609805463454,13863366
2011-11-25,11.883484840393066,12.130469482250524,11.780077407389841,11.907348036393397,3015837
2011-11-28,11.951894760131836,12.074790806864591,11.851670068300443,12.011155855398545,1431936
2011-11-29,11.995643615722656,12.090698377796105,11.852861705158018,11.908145470667323,220671
2011-11-30,11.980530738830566,12.058881639622417,11.805135659587847,11.947519541499009,4273236
2011-12-01,11.83018970489502,12.210012153298832,11.710873732857033,12.01115270057241,879516
2011-12-02,11.978543281555176,12.040985639328891,11.883885789028183,11.931612192738804,322938
2011-12-05,11.920075416564941,12.090697843287575,11.852065866408473,11.983313078189262,4096323
2011-12-07,12.146382331848145,12.210017293388571,11.947522044401543,12.035020961400985,530244
2011-12-08,12.130867004394531,12.34126116621733,12.00319909101517,12.090697227747814,3763584
2011-12-09,12.169048309326172,12.210013401329297,11.876723960202224,12.074788869532892,533412
2011-12-12,12.155924797058105,12.210014464284416,11.980927754612313,11.980927754612313,839223
2011-12-13,11.841325759887695,12.130070791329675,11.724793763157612,12.010754817801034,5232150
